CU,clock,Cycles,IPC,CPI,CPI_delta,ED2P,EDP,Frequency,IPC_delta,Sensitivity,Voltage
0,20118801000000,4000,0.0005,2000,2000,2.5e-13,5e-07,4e+09,0.0005,0,1
0,20118802000000,8000,0.00425,235.294,125,9.76562e-16,3.125e-08,4e+09,0.008,0,1
0,20118803000000,12000,0.00416667,240,250,3.90625e-15,6.25e-08,4e+09,0.004,0,1
0,20118804000000,16000,0.007125,140.351,62.5,2.44141e-16,1.5625e-08,4e+09,0.016,0,1
0,20118805000000,20000,0.0065,153.846,250,3.90625e-15,6.25e-08,4e+09,0.004,0,1
0,20118806000000,24000,0.00741667,134.831,83.3333,4.34028e-16,2.08333e-08,4e+09,0.012,0,1
0,20118807000000,28000,0.00692857,144.33,250,3.90625e-15,6.25e-08,4e+09,0.004,0,1
0,20118808000000,32000,0.0070625,141.593,125,9.76562e-16,3.125e-08,4e+09,0.008,0,1
0,20118809000000,36000,0.00672222,148.76,250,3.90625e-15,6.25e-08,4e+09,0.004,0,1
0,20118810000000,40000,0.00765,130.719,62.5,2.44141e-16,1.5625e-08,4e+09,0.016,0,1
0,20118811000000,44000,0.00729545,137.072,266.667,4.44444e-15,6.66667e-08,4e+09,0.00375,0,1
0,20118812000000,48000,0.00945833,105.727,30.0752,5.65323e-17,7.5188e-09,4e+09,0.03325,0,1
0,20118813000000,52000,0.00896154,111.588,333.333,6.94444e-15,8.33333e-08,4e+09,0.003,0,1
0,20118814000000,56000,0.0104643,95.5631,33.3333,6.94444e-17,8.33333e-09,4e+09,0.03,0,1
0,20118815000000,60000,0.00996667,100.334,333.333,6.94444e-15,8.33333e-08,4e+09,0.003,0,1
0,20118816000000,64000,0.0098125,101.911,133.333,1.11111e-15,3.33333e-08,4e+09,0.0075,0,1
0,20118817000000,68000,0.0107353,93.1507,39.2157,9.61169e-17,9.80392e-09,4e+09,0.0255,0,1
0,20118818000000,72000,0.0104583,95.6175,173.913,1.89036e-15,4.34783e-08,4e+09,0.00575,0,1
0,20118819000000,76000,0.0118158,84.6325,27.5862,4.75624e-17,6.89655e-09,4e+09,0.03625,0,1
0,20118820000000,80000,0.0188125,53.1561,6.58979,2.71408e-18,1.64745e-09,4e+09,0.15175,0,1
