Unit,stats_4Ghz_1V.txt,stats_1Ghz_.8V.txt
CUs0.wavefronts0,226869,57900
CUs0.wavefronts1,229867,55375
CUs0.wavefronts2,225766,54560
CUs0.wavefronts3,225898,55883
CUs0.wavefronts4,0,0
CUs0.wavefronts5,0,0
CUs0.wavefronts6,0,0
CUs0.wavefronts7,0,0
CUs0.wavefronts8,0,0
CUs0.wavefronts9,0,0
CUs0.wavefronts10,238987,61978
CUs0.wavefronts11,234191,56745
CUs0.wavefronts12,230412,55990
CUs0.wavefronts13,230292,58311
CUs0.wavefronts14,0,0
CUs0.wavefronts15,0,0
CUs0.wavefronts16,0,0
CUs0.wavefronts17,0,0
CUs0.wavefronts18,0,0
CUs0.wavefronts19,0,0
CUs0.wavefronts20,245585,53131
CUs0.wavefronts21,256039,49601
CUs0.wavefronts22,256170,49733
CUs0.wavefronts23,239881,49922
CUs0.wavefronts24,0,0
CUs0.wavefronts25,0,0
CUs0.wavefronts26,0,0
CUs0.wavefronts27,0,0
CUs0.wavefronts28,0,0
CUs0.wavefronts29,0,0
CUs0.wavefronts30,243747,56490
CUs0.wavefronts31,241392,53263
CUs0.wavefronts32,241245,54416
CUs0.wavefronts33,250403,54717
CUs0.wavefronts34,0,0
CUs0.wavefronts35,0,0
CUs0.wavefronts36,0,0
CUs0.wavefronts37,0,0
CUs0.wavefronts38,0,0
CUs0.wavefronts39,0,0
CUs1.wavefronts0,227088,58258
CUs1.wavefronts1,229867,55375
CUs1.wavefronts2,225766,54560
CUs1.wavefronts3,225898,55883
CUs1.wavefronts4,0,0
CUs1.wavefronts5,0,0
CUs1.wavefronts6,0,0
CUs1.wavefronts7,0,0
CUs1.wavefronts8,0,0
CUs1.wavefronts9,0,0
CUs1.wavefronts10,238820,62067
CUs1.wavefronts11,234191,56745
CUs1.wavefronts12,230412,55990
CUs1.wavefronts13,230292,58311
CUs1.wavefronts14,0,0
CUs1.wavefronts15,0,0
CUs1.wavefronts16,0,0
CUs1.wavefronts17,0,0
CUs1.wavefronts18,0,0
CUs1.wavefronts19,0,0
CUs1.wavefronts20,245589,53167
CUs1.wavefronts21,256039,49601
CUs1.wavefronts22,256170,49733
CUs1.wavefronts23,239881,49922
CUs1.wavefronts24,0,0
CUs1.wavefronts25,0,0
CUs1.wavefronts26,0,0
CUs1.wavefronts27,0,0
CUs1.wavefronts28,0,0
CUs1.wavefronts29,0,0
CUs1.wavefronts30,243736,56429
CUs1.wavefronts31,241392,53263
CUs1.wavefronts32,241245,54416
CUs1.wavefronts33,250403,54717
CUs1.wavefronts34,0,0
CUs1.wavefronts35,0,0
CUs1.wavefronts36,0,0
CUs1.wavefronts37,0,0
CUs1.wavefronts38,0,0
CUs1.wavefronts39,0,0
CUs2.wavefronts0,227464,58262
CUs2.wavefronts1,229867,55375
CUs2.wavefronts2,225766,54560
CUs2.wavefronts3,225898,55883
CUs2.wavefronts4,0,0
CUs2.wavefronts5,0,0
CUs2.wavefronts6,0,0
CUs2.wavefronts7,0,0
CUs2.wavefronts8,0,0
CUs2.wavefronts9,0,0
CUs2.wavefronts10,239069,62051
CUs2.wavefronts11,234191,56745
CUs2.wavefronts12,230412,55990
CUs2.wavefronts13,230292,58311
CUs2.wavefronts14,0,0
CUs2.wavefronts15,0,0
CUs2.wavefronts16,0,0
CUs2.wavefronts17,0,0
CUs2.wavefronts18,0,0
CUs2.wavefronts19,0,0
CUs2.wavefronts20,245595,53173
CUs2.wavefronts21,256039,49601
CUs2.wavefronts22,256170,49733
CUs2.wavefronts23,239881,49922
CUs2.wavefronts24,0,0
CUs2.wavefronts25,0,0
CUs2.wavefronts26,0,0
CUs2.wavefronts27,0,0
CUs2.wavefronts28,0,0
CUs2.wavefronts29,0,0
CUs2.wavefronts30,243726,56409
CUs2.wavefronts31,241392,53263
CUs2.wavefronts32,241245,54416
CUs2.wavefronts33,250403,54717
CUs2.wavefronts34,0,0
CUs2.wavefronts35,0,0
CUs2.wavefronts36,0,0
CUs2.wavefronts37,0,0
CUs2.wavefronts38,0,0
CUs2.wavefronts39,0,0
CUs3.wavefronts0,220052,55252
CUs3.wavefronts1,218584,52412
CUs3.wavefronts2,214487,51598
CUs3.wavefronts3,214647,52922
CUs3.wavefronts4,0,0
CUs3.wavefronts5,0,0
CUs3.wavefronts6,0,0
CUs3.wavefronts7,0,0
CUs3.wavefronts8,0,0
CUs3.wavefronts9,0,0
CUs3.wavefronts10,221225,59688
CUs3.wavefronts11,220717,54417
CUs3.wavefronts12,216938,53662
CUs3.wavefronts13,216346,55983
CUs3.wavefronts14,0,0
CUs3.wavefronts15,0,0
CUs3.wavefronts16,0,0
CUs3.wavefronts17,0,0
CUs3.wavefronts18,0,0
CUs3.wavefronts19,0,0
CUs3.wavefronts20,219035,53050
CUs3.wavefronts21,225324,49601
CUs3.wavefronts22,225449,49733
CUs3.wavefronts23,220112,49922
CUs3.wavefronts24,0,0
CUs3.wavefronts25,0,0
CUs3.wavefronts26,0,0
CUs3.wavefronts27,0,0
CUs3.wavefronts28,0,0
CUs3.wavefronts29,0,0
CUs3.wavefronts30,221867,59797
CUs3.wavefronts31,219436,56649
CUs3.wavefronts32,219300,57800
CUs3.wavefronts33,224342,58099
CUs3.wavefronts34,0,0
CUs3.wavefronts35,0,0
CUs3.wavefronts36,0,0
CUs3.wavefronts37,0,0
CUs3.wavefronts38,0,0
CUs3.wavefronts39,0,0
CUs4.wavefronts0,229560,53326
CUs4.wavefronts1,228801,50483
CUs4.wavefronts2,224692,50743
CUs4.wavefronts3,224808,52077
CUs4.wavefronts4,0,0
CUs4.wavefronts5,0,0
CUs4.wavefronts6,0,0
CUs4.wavefronts7,0,0
CUs4.wavefronts8,0,0
CUs4.wavefronts9,0,0
CUs4.wavefronts10,225481,63140
CUs4.wavefronts11,220536,57044
CUs4.wavefronts12,216725,56214
CUs4.wavefronts13,216691,58510
CUs4.wavefronts14,0,0
CUs4.wavefronts15,0,0
CUs4.wavefronts16,0,0
CUs4.wavefronts17,0,0
CUs4.wavefronts18,0,0
CUs4.wavefronts19,0,0
CUs4.wavefronts20,201050,62500
CUs4.wavefronts21,194516,59299
CUs4.wavefronts22,194553,59552
CUs4.wavefronts23,194561,59858
CUs4.wavefronts24,0,0
CUs4.wavefronts25,0,0
CUs4.wavefronts26,0,0
CUs4.wavefronts27,0,0
CUs4.wavefronts28,0,0
CUs4.wavefronts29,0,0
CUs4.wavefronts30,235036,49569
CUs4.wavefronts31,232586,46372
CUs4.wavefronts32,232497,47473
CUs4.wavefronts33,232647,47653
CUs4.wavefronts34,0,0
CUs4.wavefronts35,0,0
CUs4.wavefronts36,0,0
CUs4.wavefronts37,0,0
CUs4.wavefronts38,0,0
CUs4.wavefronts39,0,0
CUs5.wavefronts0,229914,53429
CUs5.wavefronts1,228801,50623
CUs5.wavefronts2,224692,50883
CUs5.wavefronts3,224808,52217
CUs5.wavefronts4,0,0
CUs5.wavefronts5,0,0
CUs5.wavefronts6,0,0
CUs5.wavefronts7,0,0
CUs5.wavefronts8,0,0
CUs5.wavefronts9,0,0
CUs5.wavefronts10,225438,63187
CUs5.wavefronts11,220536,57114
CUs5.wavefronts12,216725,56284
CUs5.wavefronts13,216691,58580
CUs5.wavefronts14,0,0
CUs5.wavefronts15,0,0
CUs5.wavefronts16,0,0
CUs5.wavefronts17,0,0
CUs5.wavefronts18,0,0
CUs5.wavefronts19,0,0
CUs5.wavefronts20,201062,62296
CUs5.wavefronts21,194516,59091
CUs5.wavefronts22,194553,59344
CUs5.wavefronts23,194561,59650
CUs5.wavefronts24,0,0
CUs5.wavefronts25,0,0
CUs5.wavefronts26,0,0
CUs5.wavefronts27,0,0
CUs5.wavefronts28,0,0
CUs5.wavefronts29,0,0
CUs5.wavefronts30,235044,49553
CUs5.wavefronts31,232586,46372
CUs5.wavefronts32,232497,47473
CUs5.wavefronts33,232647,47653
CUs5.wavefronts34,0,0
CUs5.wavefronts35,0,0
CUs5.wavefronts36,0,0
CUs5.wavefronts37,0,0
CUs5.wavefronts38,0,0
CUs5.wavefronts39,0,0
CUs6.wavefronts0,230306,53373
CUs6.wavefronts1,228801,50548
CUs6.wavefronts2,224692,49811
CUs6.wavefronts3,224808,51135
CUs6.wavefronts4,0,0
CUs6.wavefronts5,0,0
CUs6.wavefronts6,0,0
CUs6.wavefronts7,0,0
CUs6.wavefronts8,0,0
CUs6.wavefronts9,0,0
CUs6.wavefronts10,225689,57947
CUs6.wavefronts11,220536,52801
CUs6.wavefronts12,216725,51979
CUs6.wavefronts13,216691,54291
CUs6.wavefronts14,0,0
CUs6.wavefronts15,0,0
CUs6.wavefronts16,0,0
CUs6.wavefronts17,0,0
CUs6.wavefronts18,0,0
CUs6.wavefronts19,0,0
CUs6.wavefronts20,201057,63565
CUs6.wavefronts21,194516,60311
CUs6.wavefronts22,194553,60539
CUs6.wavefronts23,194561,61785
CUs6.wavefronts24,0,0
CUs6.wavefronts25,0,0
CUs6.wavefronts26,0,0
CUs6.wavefronts27,0,0
CUs6.wavefronts28,0,0
CUs6.wavefronts29,0,0
CUs6.wavefronts30,235058,49614
CUs6.wavefronts31,232586,43061
CUs6.wavefronts32,232497,44147
CUs6.wavefronts33,232647,44320
CUs6.wavefronts34,0,0
CUs6.wavefronts35,0,0
CUs6.wavefronts36,0,0
CUs6.wavefronts37,0,0
CUs6.wavefronts38,0,0
CUs6.wavefronts39,0,0
CUs7.wavefronts0,228049,57228
CUs7.wavefronts1,226044,54222
CUs7.wavefronts2,221932,53471
CUs7.wavefronts3,222048,54840
CUs7.wavefronts4,0,0
CUs7.wavefronts5,0,0
CUs7.wavefronts6,0,0
CUs7.wavefronts7,0,0
CUs7.wavefronts8,0,0
CUs7.wavefronts9,0,0
CUs7.wavefronts10,237497,59535
CUs7.wavefronts11,232098,54252
CUs7.wavefronts12,228287,53412
CUs7.wavefronts13,228253,55644
CUs7.wavefronts14,0,0
CUs7.wavefronts15,0,0
CUs7.wavefronts16,0,0
CUs7.wavefronts17,0,0
CUs7.wavefronts18,0,0
CUs7.wavefronts19,0,0
CUs7.wavefronts20,201036,60330
CUs7.wavefronts21,194516,62457
CUs7.wavefronts22,194553,62788
CUs7.wavefronts23,194561,61767
CUs7.wavefronts24,0,0
CUs7.wavefronts25,0,0
CUs7.wavefronts26,0,0
CUs7.wavefronts27,0,0
CUs7.wavefronts28,0,0
CUs7.wavefronts29,0,0
CUs7.wavefronts30,227976,55022
CUs7.wavefronts31,225529,51852
CUs7.wavefronts32,225440,52929
CUs7.wavefronts33,225590,56548
CUs7.wavefronts34,0,0
CUs7.wavefronts35,0,0
CUs7.wavefronts36,0,0
CUs7.wavefronts37,0,0
CUs7.wavefronts38,0,0
CUs7.wavefronts39,0,0
CUs8.wavefronts0,218648,57512
CUs8.wavefronts1,217770,54754
CUs8.wavefronts2,213658,54018
CUs8.wavefronts3,213774,55501
CUs8.wavefronts4,0,0
CUs8.wavefronts5,0,0
CUs8.wavefronts6,0,0
CUs8.wavefronts7,0,0
CUs8.wavefronts8,0,0
CUs8.wavefronts9,0,0
CUs8.wavefronts10,236709,63490
CUs8.wavefronts11,231949,59513
CUs8.wavefronts12,228130,58738
CUs8.wavefronts13,228096,60970
CUs8.wavefronts14,0,0
CUs8.wavefronts15,0,0
CUs8.wavefronts16,0,0
CUs8.wavefronts17,0,0
CUs8.wavefronts18,0,0
CUs8.wavefronts19,0,0
CUs8.wavefronts20,198846,64976
CUs8.wavefronts21,192340,67503
CUs8.wavefronts22,192377,67833
CUs8.wavefronts23,192385,64108
CUs8.wavefronts24,0,0
CUs8.wavefronts25,0,0
CUs8.wavefronts26,0,0
CUs8.wavefronts27,0,0
CUs8.wavefronts28,0,0
CUs8.wavefronts29,0,0
CUs8.wavefronts30,234291,58832
CUs8.wavefronts31,232677,55726
CUs8.wavefronts32,232588,56799
CUs8.wavefronts33,232738,61963
CUs8.wavefronts34,0,0
CUs8.wavefronts35,0,0
CUs8.wavefronts36,0,0
CUs8.wavefronts37,0,0
CUs8.wavefronts38,0,0
CUs8.wavefronts39,0,0
CUs9.wavefronts0,219000,57520
CUs9.wavefronts1,217770,54754
CUs9.wavefronts2,213658,54018
CUs9.wavefronts3,213774,55501
CUs9.wavefronts4,0,0
CUs9.wavefronts5,0,0
CUs9.wavefronts6,0,0
CUs9.wavefronts7,0,0
CUs9.wavefronts8,0,0
CUs9.wavefronts9,0,0
CUs9.wavefronts10,236819,63501
CUs9.wavefronts11,231949,59513
CUs9.wavefronts12,228130,58738
CUs9.wavefronts13,228096,60970
CUs9.wavefronts14,0,0
CUs9.wavefronts15,0,0
CUs9.wavefronts16,0,0
CUs9.wavefronts17,0,0
CUs9.wavefronts18,0,0
CUs9.wavefronts19,0,0
CUs9.wavefronts20,198842,64976
CUs9.wavefronts21,192340,67503
CUs9.wavefronts22,192377,67833
CUs9.wavefronts23,192385,64108
CUs9.wavefronts24,0,0
CUs9.wavefronts25,0,0
CUs9.wavefronts26,0,0
CUs9.wavefronts27,0,0
CUs9.wavefronts28,0,0
CUs9.wavefronts29,0,0
