CU,perfLevel,clock,Cycles,IPC,CPI,CPI_delta,ED2P,EDP,Frequency,IPC_delta,Sensitivity,Voltage
0,2,10881501000000,1000,0.016,62.5,62.5,204800,1.28e+07,1000000000,0.016,16,0.8
0,2,12175902000000,54754,0.0890894,11.2247,11.0559,6.54483e+06,7.23593e+07,1000000000,0.0904491,4862,0.8
0,0,12175903000000,58754,0.0830241,12.0447,0,0,0,4000000000,0,0,1
0,2,12175904000000,59754,0.0818355,12.2196,83.3333,115200,9.6e+06,1000000000,0.012,12,0.8
0,2,12175905000000,60754,0.0843237,11.8591,4.29185,4.34312e+07,1.864e+08,1000000000,0.233,233,0.8
0,0,12175906000000,64754,0.0822806,12.1535,19.5122,1.05062e+07,2.05e+08,4000000000,0.05125,51.25,1
0,2,12175907000000,65754,0.0818657,12.2151,18.1818,2.42e+06,4.4e+07,1000000000,0.055,55,0.8
0,0,12175908000000,69754,0.0858732,11.6451,6.58979,9.21122e+07,6.07e+08,4000000000,0.15175,151.75,1
0,2,12175909000000,70754,0.0863273,11.5838,8.47458,1.11392e+07,9.44e+07,1000000000,0.118,118,0.8
0,1,12175910000000,72754,0.0929983,10.7529,3.03951,1.94834e+08,5.922e+08,2000000000,0.329,329,0.9
0,0,12175911000000,76754,0.0899758,11.1141,28.5714,4.9e+06,1.4e+08,4000000000,0.035,35,1
0,2,12175912000000,77754,0.0926255,10.7962,3.37838,7.00928e+07,2.368e+08,1000000000,0.296,296,0.8
0,0,12175913000000,81754,0.0921545,10.8513,12.0482,2.7556e+07,3.32e+08,4000000000,0.083,83,1
0,2,12175914000000,82754,0.0928777,10.7668,6.57895,1.84832e+07,1.216e+08,1000000000,0.152,152,0.8
0,1,12175915000000,84754,0.0978125,10.2236,3.31126,1.64167e+08,5.436e+08,2000000000,0.302,302,0.9
0,0,12175916000000,88754,0.0951168,10.5134,26.3158,5.776e+06,1.52e+08,4000000000,0.038,38,1
0,2,12175917000000,89754,0.0985694,10.1451,2.46914,1.3122e+08,3.24e+08,1000000000,0.405,405,0.8
0,0,12175918000000,93754,0.0966145,10.3504,18.9573,1.11302e+07,2.11e+08,4000000000,0.05275,52.75,1
0,2,12175919000000,94754,0.096798,10.3308,8.77193,1.03968e+07,9.12e+07,1000000000,0.114,114,0.8
0,1,12175920000000,96754,0.101681,9.83472,3.003,1.996e+08,5.994e+08,2000000000,0.333,333,0.9
0,0,12175921000000,100754,0.0991524,10.0855,26.3158,5.776e+06,1.52e+08,4000000000,0.038,38,1
0,2,12175922000000,101754,0.102571,9.74935,2.23714,1.59847e+08,3.576e+08,1000000000,0.447,447,0.8
0,0,12175923000000,105754,0.100176,9.98244,25.4777,6.16225e+06,1.57e+08,4000000000,0.03925,39.25,1
0,2,12175924000000,106754,0.100305,9.96956,8.77193,1.03968e+07,9.12e+07,1000000000,0.114,114,0.8
0,1,12175925000000,108754,0.104585,9.56163,3.003,1.996e+08,5.994e+08,2000000000,0.333,333,0.9
0,0,12175926000000,112754,0.102223,9.78258,26.3158,5.776e+06,1.52e+08,4000000000,0.038,38,1
0,2,12175927000000,113754,0.105429,9.48503,2.14133,1.74471e+08,3.736e+08,1000000000,0.467,467,0.8
0,0,12175928000000,117754,0.103011,9.70767,29.1971,4.69225e+06,1.37e+08,4000000000,0.03425,34.25,1
0,2,12175929000000,118754,0.103104,9.69895,8.77193,1.03968e+07,9.12e+07,1000000000,0.114,114,0.8
0,1,12175930000000,120754,0.106912,9.35352,3.003,1.996e+08,5.994e+08,2000000000,0.333,333,0.9
0,0,12175931000000,124754,0.104702,9.55091,26.3158,5.776e+06,1.52e+08,4000000000,0.038,38,1
0,2,12175932000000,125754,0.107623,9.29171,2.11864,1.78227e+08,3.776e+08,1000000000,0.472,472,0.8
0,0,12175933000000,129754,0.105322,9.49466,30.303,4.356e+06,1.32e+08,4000000000,0.033,33,1
0,2,12175934000000,130754,0.105389,9.48868,8.77193,1.03968e+07,9.12e+07,1000000000,0.114,114,0.8
