CU,perfLevel,clock,Cycles,IPC,CPI,CPI_delta,ED2P,EDP,Frequency,IPC_delta,Sensitivity,Voltage
0,2,12159900900000,900,0.0311111,32.1429,32.1429,774321,2.48889e+07,1000000000,0.0311111,28,0.8
0,2,12159901000000,1000,0.036,27.7778,12.5,5.12e+06,6.4e+07,1000000000,0.08,8,0.8
0,2,12159901100000,1100,0.0327273,30.5556,0,0,0,1000000000,0,0,0.8
0,2,12159901200000,1200,0.03,33.3333,0,0,0,1000000000,0,0,0.8
0,2,12159901300000,1300,0.0276923,36.1111,0,0,0,1000000000,0,0,0.8
0,2,12159901400000,1400,0.0257143,38.8889,0,0,0,1000000000,0,0,0.8
0,2,12159901500000,1500,0.024,41.6667,0,0,0,1000000000,0,0,0.8
0,2,12159901600000,1600,0.0225,44.4444,0,0,0,1000000000,0,0,0.8
0,2,12159901700000,1700,0.0211765,47.2222,0,0,0,1000000000,0,0,0.8
0,2,12159901800000,1800,0.02,50,0,0,0,1000000000,0,0,0.8
0,2,12159901900000,1900,0.0189474,52.7778,0,0,0,1000000000,0,0,0.8
0,2,12159902000000,2000,0.0205,48.7805,20,2e+06,4e+07,1000000000,0.05,5,0.8
0,2,12159902100000,2100,0.0552381,18.1034,1.33333,4.5e+08,6e+08,1000000000,0.75,75,0.8
0,1,12159902200000,2300,0.0830435,12.0419,2.66667,2.53125e+08,6.75e+08,2000000000,0.375,37.5,0.9
0,2,12159902300000,2400,0.08,12.5,100,80000,8e+06,1000000000,0.01,1,0.8
0,2,12159902400000,2500,0.0768,13.0208,0,0,0,1000000000,0,0,0.8
0,2,12159902500000,2600,0.0738462,13.5417,0,0,0,1000000000,0,0,0.8
0,2,12159902600000,2700,0.0711111,14.0625,0,0,0,1000000000,0,0,0.8
0,2,12159902700000,2800,0.0685714,14.5833,0,0,0,1000000000,0,0,0.8
0,2,12159902800000,2900,0.0662069,15.1042,0,0,0,1000000000,0,0,0.8
0,2,12159902900000,3000,0.064,15.625,0,0,0,1000000000,0,0,0.8
0,2,12159903000000,3100,0.0619355,16.1458,0,0,0,1000000000,0,0,0.8
0,2,12159903100000,3200,0.06,16.6667,0,0,0,1000000000,0,0,0.8
0,2,12159903200000,3300,0.0581818,17.1875,0,0,0,1000000000,0,0,0.8
0,2,12159903300000,3400,0.0670588,14.9123,2.77778,1.0368e+08,2.88e+08,1000000000,0.36,36,0.8
0,2,12159903400000,3500,0.0651429,15.3509,0,0,0,1000000000,0,0,0.8
0,2,12159903500000,3600,0.0633333,15.7895,0,0,0,1000000000,0,0,0.8
0,2,12159903600000,3700,0.0616216,16.2281,0,0,0,1000000000,0,0,0.8
0,2,12159903700000,3800,0.06,16.6667,0,0,0,1000000000,0,0,0.8
0,2,12159903800000,3900,0.0584615,17.1053,0,0,0,1000000000,0,0,0.8
0,2,12159903900000,4000,0.057,17.5439,0,0,0,1000000000,0,0,0.8
0,2,12159904000000,4100,0.0556098,17.9825,0,0,0,1000000000,0,0,0.8
0,2,12159904100000,4200,0.0542857,18.4211,0,0,0,1000000000,0,0,0.8
0,2,12159904200000,4300,0.0530233,18.8596,0,0,0,1000000000,0,0,0.8
0,2,12159904300000,4400,0.0643182,15.5477,1.81818,2.42e+08,4.4e+08,1000000000,0.55,55,0.8
0,2,12159904400000,4500,0.078,12.8205,1.47059,3.6992e+08,5.44e+08,1000000000,0.68,68,0.8
0,1,12159904500000,4700,0.0817021,12.2396,6.06061,4.9005e+07,2.97e+08,2000000000,0.165,16.5,0.9
0,2,12159904600000,4800,0.08,12.5,0,0,0,1000000000,0,0,0.8
0,2,12159904700000,4900,0.0783673,12.7604,0,0,0,1000000000,0,0,0.8
0,2,12159904800000,5000,0.0768,13.0208,0,0,0,1000000000,0,0,0.8
0,2,12159904900000,5100,0.0752941,13.2813,0,0,0,1000000000,0,0,0.8
0,2,12159905000000,5200,0.0738462,13.5417,0,0,0,1000000000,0,0,0.8
0,2,12159905100000,5300,0.0724528,13.8021,0,0,0,1000000000,0,0,0.8
0,2,12159905200000,5400,0.0711111,14.0625,0,0,0,1000000000,0,0,0.8
0,2,12159905300000,5500,0.0698182,14.3229,0,0,0,1000000000,0,0,0.8
0,2,12159905400000,5600,0.0685714,14.5833,0,0,0,1000000000,0,0,0.8
0,2,12159905500000,5700,0.0673684,14.8438,0,0,0,1000000000,0,0,0.8
0,2,12159905600000,5800,0.0724138,13.8095,2.77778,1.0368e+08,2.88e+08,1000000000,0.36,36,0.8
0,2,12159905700000,5900,0.0711864,14.0476,0,0,0,1000000000,0,0,0.8
0,2,12159905800000,6000,0.07,14.2857,0,0,0,1000000000,0,0,0.8
0,2,12159905900000,6100,0.0688525,14.5238,0,0,0,1000000000,0,0,0.8
0,2,12159906000000,6200,0.0677419,14.7619,0,0,0,1000000000,0,0,0.8
0,2,12159906100000,6300,0.0666667,15,0,0,0,1000000000,0,0,0.8
0,2,12159906200000,6400,0.065625,15.2381,0,0,0,1000000000,0,0,0.8
0,2,12159906300000,6500,0.0646154,15.4762,0,0,0,1000000000,0,0,0.8
0,2,12159906400000,6600,0.0636364,15.7143,0,0,0,1000000000,0,0,0.8
0,2,12159906500000,6700,0.0626866,15.9524,0,0,0,1000000000,0,0,0.8
0,2,12159906600000,6800,0.0694118,14.4068,1.92308,2.1632e+08,4.16e+08,1000000000,0.52,52,0.8
0,2,12159906700000,6900,0.0782609,12.7778,1.47059,3.6992e+08,5.44e+08,1000000000,0.68,68,0.8
0,1,12159906800000,7100,0.0811268,12.3264,5.55556,5.832e+07,3.24e+08,2000000000,0.18,18,0.9
0,2,12159906900000,7200,0.08,12.5,0,0,0,1000000000,0,0,0.8
0,2,12159907000000,7300,0.0789041,12.6736,0,0,0,1000000000,0,0,0.8
0,2,12159907100000,7400,0.0778378,12.8472,0,0,0,1000000000,0,0,0.8
0,2,12159907200000,7500,0.0768,13.0208,0,0,0,1000000000,0,0,0.8
0,2,12159907300000,7600,0.0757895,13.1944,0,0,0,1000000000,0,0,0.8
0,2,12159907400000,7700,0.0748052,13.3681,0,0,0,1000000000,0,0,0.8
0,2,12159907500000,7800,0.0738462,13.5417,0,0,0,1000000000,0,0,0.8
0,2,12159907600000,7900,0.0729114,13.7153,0,0,0,1000000000,0,0,0.8
0,2,12159907700000,8000,0.072,13.8889,0,0,0,1000000000,0,0,0.8
0,2,12159907800000,8100,0.0711111,14.0625,0,0,0,1000000000,0,0,0.8
0,2,12159907900000,8200,0.0746341,13.3987,2.77778,1.0368e+08,2.88e+08,1000000000,0.36,36,0.8
0,2,12159908000000,8300,0.0737349,13.5621,0,0,0,1000000000,0,0,0.8
0,2,12159908100000,8400,0.0728571,13.7255,0,0,0,1000000000,0,0,0.8
0,2,12159908200000,8500,0.072,13.8889,0,0,0,1000000000,0,0,0.8
0,2,12159908300000,8600,0.0711628,14.0523,0,0,0,1000000000,0,0,0.8
0,2,12159908400000,8700,0.0703448,14.2157,0,0,0,1000000000,0,0,0.8
0,2,12159908500000,8800,0.0695455,14.3791,0,0,0,1000000000,0,0,0.8
0,2,12159908600000,8900,0.068764,14.5425,0,0,0,1000000000,0,0,0.8
0,2,12159908700000,9000,0.068,14.7059,0,0,0,1000000000,0,0,0.8
0,2,12159908800000,9100,0.0672527,14.8693,0,0,0,1000000000,0,0,0.8
0,2,12159908900000,9200,0.0721739,13.8554,1.92308,2.1632e+08,4.16e+08,1000000000,0.52,52,0.8
0,1,12159909000000,9400,0.0791489,12.6344,2.5,2.88e+08,7.2e+08,2000000000,0.4,40,0.9
0,2,12159909100000,9500,0.0808421,12.3698,4.16667,4.608e+07,1.92e+08,1000000000,0.24,24,0.8
0,2,12159909200000,9600,0.08,12.5,0,0,0,1000000000,0,0,0.8
0,2,12159909300000,9700,0.0791753,12.6302,0,0,0,1000000000,0,0,0.8
0,2,12159909400000,9800,0.0783673,12.7604,0,0,0,1000000000,0,0,0.8
0,2,12159909500000,9900,0.0775758,12.8906,0,0,0,1000000000,0,0,0.8
0,2,12159909600000,10000,0.0768,13.0208,0,0,0,1000000000,0,0,0.8
0,2,12159909700000,10100,0.0760396,13.151,0,0,0,1000000000,0,0,0.8
0,2,12159909800000,10200,0.0752941,13.2813,0,0,0,1000000000,0,0,0.8
0,2,12159909900000,10300,0.0745631,13.4115,0,0,0,1000000000,0,0,0.8
0,2,12159910000000,10400,0.0738462,13.5417,0,0,0,1000000000,0,0,0.8
0,2,12159910100000,10500,0.0731429,13.6719,0,0,0,1000000000,0,0,0.8
0,2,12159910200000,10600,0.0758491,13.1841,2.77778,1.0368e+08,2.88e+08,1000000000,0.36,36,0.8
0,2,12159910300000,10700,0.0751402,13.3085,0,0,0,1000000000,0,0,0.8
0,2,12159910400000,10800,0.0744444,13.4328,0,0,0,1000000000,0,0,0.8
0,2,12159910500000,10900,0.0737615,13.5572,0,0,0,1000000000,0,0,0.8
0,2,12159910600000,11000,0.0730909,13.6816,0,0,0,1000000000,0,0,0.8
0,2,12159910700000,11100,0.0724324,13.806,0,0,0,1000000000,0,0,0.8
0,2,12159910800000,11200,0.0717857,13.9303,0,0,0,1000000000,0,0,0.8
0,2,12159910900000,11300,0.0711504,14.0547,0,0,0,1000000000,0,0,0.8
0,2,12159911000000,11400,0.0705263,14.1791,0,0,0,1000000000,0,0,0.8
0,2,12159911100000,11500,0.069913,14.3035,0,0,0,1000000000,0,0,0.8
0,2,12159911200000,11600,0.070431,14.1983,7.69231,1.352e+07,1.04e+08,1000000000,0.13,13,0.8
0,2,12159911300000,11700,0.0762393,13.1166,1.33333,4.5e+08,6e+08,1000000000,0.75,75,0.8
0,1,12159911400000,11900,0.0806723,12.3958,2.94118,2.0808e+08,6.12e+08,2000000000,0.34,34,0.9
0,2,12159911500000,12000,0.08,12.5,0,0,0,1000000000,0,0,0.8
0,2,12159911600000,12100,0.0793388,12.6042,0,0,0,1000000000,0,0,0.8
0,2,12159911700000,12200,0.0786885,12.7083,0,0,0,1000000000,0,0,0.8
0,2,12159911800000,12300,0.0780488,12.8125,0,0,0,1000000000,0,0,0.8
0,2,12159911900000,12400,0.0774194,12.9167,0,0,0,1000000000,0,0,0.8
0,2,12159912000000,12500,0.0768,13.0208,0,0,0,1000000000,0,0,0.8
0,2,12159912100000,12600,0.0761905,13.125,0,0,0,1000000000,0,0,0.8
0,2,12159912200000,12700,0.0755906,13.2292,0,0,0,1000000000,0,0,0.8
0,2,12159912300000,12800,0.075,13.3333,0,0,0,1000000000,0,0,0.8
0,2,12159912400000,12900,0.0744186,13.4375,0,0,0,1000000000,0,0,0.8
0,2,12159912500000,13000,0.0766154,13.0522,2.77778,1.0368e+08,2.88e+08,1000000000,0.36,36,0.8
0,2,12159912600000,13100,0.0760305,13.1526,0,0,0,1000000000,0,0,0.8
0,2,12159912700000,13200,0.0754545,13.253,0,0,0,1000000000,0,0,0.8
0,2,12159912800000,13300,0.0748872,13.3534,0,0,0,1000000000,0,0,0.8
0,2,12159912900000,13400,0.0743284,13.4538,0,0,0,1000000000,0,0,0.8
0,2,12159913000000,13500,0.0737778,13.5542,0,0,0,1000000000,0,0,0.8
0,2,12159913100000,13600,0.0732353,13.6546,0,0,0,1000000000,0,0,0.8
0,2,12159913200000,13700,0.0727007,13.755,0,0,0,1000000000,0,0,0.8
0,2,12159913300000,13800,0.0721739,13.8554,0,0,0,1000000000,0,0,0.8
0,2,12159913400000,13900,0.0716547,13.9558,0,0,0,1000000000,0,0,0.8
0,2,12159913500000,14000,0.072,13.8889,8.33333,1.152e+07,9.6e+07,1000000000,0.12,12,0.8
0,1,12159913600000,14200,0.0773239,12.9326,2.22222,3.645e+08,8.1e+08,2000000000,0.45,45,0.9
0,2,12159913700000,14300,0.0804196,12.4348,1.92308,2.1632e+08,4.16e+08,1000000000,0.52,52,0.8
0,2,12159913800000,14400,0.08,12.5,50,320000,1.6e+07,1000000000,0.02,2,0.8
