CU,perfLevel,clock,Cycles,IPC,CPI,CPI_delta,ED2P,EDP,Frequency,IPC_delta,Sensitivity,Voltage
0,0,12513501000000,4000,0.155,6.45161,6.45161,9.61e+07,6.2e+08,4000000000,0.155,155,1
0,0,12513502000000,8000,0.09575,10.4439,27.3973,5.329e+06,1.46e+08,4000000000,0.0365,36.5,1
0,0,12513503000000,12000,0.116333,8.59599,6.34921,9.9225e+07,6.3e+08,4000000000,0.1575,157.5,1
0,1,12513504000000,14000,0.109714,9.11458,14.2857,8.82e+06,1.26e+08,2000000000,0.07,70,0.9
0,0,12513505000000,18000,0.105222,9.5037,11.1732,3.2041e+07,3.58e+08,4000000000,0.0895,89.5,1
0,1,12513506000000,20000,0.1086,9.2081,7.19424,3.47778e+07,2.502e+08,2000000000,0.139,139,0.9
0,0,12513507000000,24000,0.0955,10.4712,33.3333,3.6e+06,1.2e+08,4000000000,0.03,30,1
0,0,12513508000000,28000,0.104857,9.53678,6.21118,1.03684e+08,6.44e+08,4000000000,0.161,161,1
0,0,12513509000000,32000,0.096375,10.3761,27.027,5.476e+06,1.48e+08,4000000000,0.037,37,1
0,0,12513510000000,36000,0.102333,9.77199,6.66667,9e+07,6e+08,4000000000,0.15,150,1
0,1,12513511000000,38000,0.101368,9.86501,11.9048,1.27008e+07,1.512e+08,2000000000,0.084,84,0.9
0,0,12513512000000,42000,0.0972857,10.279,17.094,1.3689e+07,2.34e+08,4000000000,0.0585,58.5,1
0,1,12513513000000,44000,0.101545,9.84781,5.2356,6.56658e+07,3.438e+08,2000000000,0.191,191,0.9
0,0,12513514000000,48000,0.09575,10.4439,31.25,4.096e+06,1.28e+08,4000000000,0.032,32,1
0,0,12513515000000,52000,0.100769,9.92366,6.21118,1.03684e+08,6.44e+08,4000000000,0.161,161,1
0,1,12513516000000,54000,0.0993519,10.0652,16,7.03125e+06,1.125e+08,2000000000,0.0625,62.5,0.9
0,0,12513517000000,58000,0.10331,9.67957,6.37959,9.82822e+07,6.27e+08,4000000000,0.15675,156.75,1
0,1,12513518000000,60000,0.102,9.80392,15.625,7.3728e+06,1.152e+08,2000000000,0.064,64,0.9
0,0,12513519000000,64000,0.0993125,10.0692,16.9492,1.3924e+07,2.36e+08,4000000000,0.059,59,1
0,1,12513520000000,66000,0.102545,9.75177,4.85437,7.63848e+07,3.708e+08,2000000000,0.206,206,0.9
0,1,12513521000000,68000,0.101485,9.85364,15.0376,7.96005e+06,1.197e+08,2000000000,0.0665,66.5,0.9
0,0,12513522000000,72000,0.104611,9.55921,6.33914,9.95402e+07,6.31e+08,4000000000,0.15775,157.75,1
0,1,12513523000000,74000,0.103568,9.65553,15.1515,7.8408e+06,1.188e+08,2000000000,0.066,66,0.9
0,0,12513524000000,78000,0.106513,9.38854,6.21118,1.03684e+08,6.44e+08,4000000000,0.161,161,1
0,1,12513525000000,80000,0.1056,9.4697,14.2857,8.82e+06,1.26e+08,2000000000,0.07,70,0.9
0,0,12513526000000,84000,0.102286,9.77654,27.7778,5.184e+06,1.44e+08,4000000000,0.036,36,1
0,1,12513527000000,86000,0.105581,9.47137,4.09836,1.07165e+08,4.392e+08,2000000000,0.244,244,0.9
0,1,12513528000000,88000,0.104864,9.53619,13.5135,9.8568e+06,1.332e+08,2000000000,0.074,74,0.9
0,0,12513529000000,92000,0.10687,9.3572,6.62252,9.1204e+07,6.04e+08,4000000000,0.151,151,1
0,1,12513530000000,94000,0.105947,9.4387,15.748,7.25805e+06,1.143e+08,2000000000,0.0635,63.5,0.9
0,0,12513531000000,98000,0.108245,9.23831,6.16333,1.053e+08,6.49e+08,4000000000,0.16225,162.25,1
0,1,12513532000000,100000,0.10734,9.31619,15.873,7.1442e+06,1.134e+08,2000000000,0.063,63,0.9
0,0,12513533000000,104000,0.104298,9.5879,35.3982,3.19225e+06,1.13e+08,4000000000,0.02825,28.25,1
0,1,12513534000000,106000,0.107245,9.32442,3.83877,1.22148e+08,4.689e+08,2000000000,0.2605,260.5,0.9
0,1,12513535000000,108000,0.106778,9.36524,12.1951,1.21032e+07,1.476e+08,2000000000,0.082,82,0.9
0,0,12513536000000,112000,0.108357,9.22874,6.62252,9.1204e+07,6.04e+08,4000000000,0.151,151,1
0,1,12513537000000,114000,0.10757,9.29626,15.748,7.25805e+06,1.143e+08,2000000000,0.0635,63.5,0.9
0,0,12513538000000,118000,0.109424,9.13879,6.16333,1.053e+08,6.49e+08,4000000000,0.16225,162.25,1
0,1,12513539000000,120000,0.10865,9.20387,15.873,7.1442e+06,1.134e+08,2000000000,0.063,63,0.9
0,0,12513540000000,124000,0.106024,9.43181,36.6972,2.97025e+06,1.09e+08,4000000000,0.02725,27.25,1
0,0,12513541000000,128000,0.109781,9.10902,4.41989,2.04756e+08,9.05e+08,4000000000,0.22625,226.25,1
0,0,12513542000000,132000,0.107311,9.31874,35.3982,3.19225e+06,1.13e+08,4000000000,0.02825,28.25,1
0,0,12513543000000,136000,0.108706,9.19913,6.46204,9.57902e+07,6.19e+08,4000000000,0.15475,154.75,1
0,0,12513544000000,140000,0.106621,9.37898,27.972,5.11225e+06,1.43e+08,4000000000,0.03575,35.75,1
0,0,12513545000000,144000,0.103667,9.6463,4000,250,1e+06,4000000000,0.00025,0.25,1
0,0,12513546000000,148000,0.105,9.52381,6.53595,9.3636e+07,6.12e+08,4000000000,0.153,153,1
0,0,12513547000000,152000,0.103342,9.6766,23.8095,7.056e+06,1.68e+08,4000000000,0.042,42,1
1,0,12513501000000,4000,0.155,6.45161,6.45161,9.61e+07,6.2e+08,4000000000,0.155,155,1
1,0,12513502000000,8000,0.09575,10.4439,27.3973,5.329e+06,1.46e+08,4000000000,0.0365,36.5,1
1,0,12513503000000,12000,0.116333,8.59599,6.34921,9.9225e+07,6.3e+08,4000000000,0.1575,157.5,1
1,1,12513504000000,14000,0.109714,9.11458,14.2857,8.82e+06,1.26e+08,2000000000,0.07,70,0.9
1,0,12513505000000,18000,0.105222,9.5037,11.1732,3.2041e+07,3.58e+08,4000000000,0.0895,89.5,1
1,1,12513506000000,20000,0.1086,9.2081,7.19424,3.47778e+07,2.502e+08,2000000000,0.139,139,0.9
1,0,12513507000000,24000,0.0955,10.4712,33.3333,3.6e+06,1.2e+08,4000000000,0.03,30,1
1,0,12513508000000,28000,0.104857,9.53678,6.21118,1.03684e+08,6.44e+08,4000000000,0.161,161,1
1,0,12513509000000,32000,0.096375,10.3761,27.027,5.476e+06,1.48e+08,4000000000,0.037,37,1
1,0,12513510000000,36000,0.102333,9.77199,6.66667,9e+07,6e+08,4000000000,0.15,150,1
1,1,12513511000000,38000,0.101368,9.86501,11.9048,1.27008e+07,1.512e+08,2000000000,0.084,84,0.9
1,0,12513512000000,42000,0.0972857,10.279,17.094,1.3689e+07,2.34e+08,4000000000,0.0585,58.5,1
1,1,12513513000000,44000,0.101545,9.84781,5.2356,6.56658e+07,3.438e+08,2000000000,0.191,191,0.9
1,0,12513514000000,48000,0.09575,10.4439,31.25,4.096e+06,1.28e+08,4000000000,0.032,32,1
1,0,12513515000000,52000,0.100769,9.92366,6.21118,1.03684e+08,6.44e+08,4000000000,0.161,161,1
1,1,12513516000000,54000,0.0993519,10.0652,16,7.03125e+06,1.125e+08,2000000000,0.0625,62.5,0.9
1,0,12513517000000,58000,0.10331,9.67957,6.37959,9.82822e+07,6.27e+08,4000000000,0.15675,156.75,1
1,1,12513518000000,60000,0.102,9.80392,15.625,7.3728e+06,1.152e+08,2000000000,0.064,64,0.9
1,0,12513519000000,64000,0.0993125,10.0692,16.9492,1.3924e+07,2.36e+08,4000000000,0.059,59,1
1,1,12513520000000,66000,0.102545,9.75177,4.85437,7.63848e+07,3.708e+08,2000000000,0.206,206,0.9
1,1,12513521000000,68000,0.101485,9.85364,15.0376,7.96005e+06,1.197e+08,2000000000,0.0665,66.5,0.9
1,0,12513522000000,72000,0.104611,9.55921,6.33914,9.95402e+07,6.31e+08,4000000000,0.15775,157.75,1
1,1,12513523000000,74000,0.103568,9.65553,15.1515,7.8408e+06,1.188e+08,2000000000,0.066,66,0.9
1,0,12513524000000,78000,0.106513,9.38854,6.21118,1.03684e+08,6.44e+08,4000000000,0.161,161,1
1,1,12513525000000,80000,0.1056,9.4697,14.2857,8.82e+06,1.26e+08,2000000000,0.07,70,0.9
1,0,12513526000000,84000,0.102286,9.77654,27.7778,5.184e+06,1.44e+08,4000000000,0.036,36,1
1,1,12513527000000,86000,0.105581,9.47137,4.09836,1.07165e+08,4.392e+08,2000000000,0.244,244,0.9
1,1,12513528000000,88000,0.104864,9.53619,13.5135,9.8568e+06,1.332e+08,2000000000,0.074,74,0.9
1,0,12513529000000,92000,0.10687,9.3572,6.62252,9.1204e+07,6.04e+08,4000000000,0.151,151,1
1,1,12513530000000,94000,0.105947,9.4387,15.748,7.25805e+06,1.143e+08,2000000000,0.0635,63.5,0.9
1,0,12513531000000,98000,0.108245,9.23831,6.16333,1.053e+08,6.49e+08,4000000000,0.16225,162.25,1
1,1,12513532000000,100000,0.10734,9.31619,15.873,7.1442e+06,1.134e+08,2000000000,0.063,63,0.9
1,0,12513533000000,104000,0.104298,9.5879,35.3982,3.19225e+06,1.13e+08,4000000000,0.02825,28.25,1
1,1,12513534000000,106000,0.107245,9.32442,3.83877,1.22148e+08,4.689e+08,2000000000,0.2605,260.5,0.9
1,1,12513535000000,108000,0.106778,9.36524,12.1951,1.21032e+07,1.476e+08,2000000000,0.082,82,0.9
1,0,12513536000000,112000,0.108357,9.22874,6.62252,9.1204e+07,6.04e+08,4000000000,0.151,151,1
