CU,perfLevel,clock,Cycles,IPC,CPI,CPI_delta,ED2P,EDP,Frequency,IPC_delta,Sensitivity,Voltage
0,1,12300400100000,200,0.07,14.2857,14.2857,8.82e+06,1.26e+08,2000000000,0.07,7,0.9
0,2,12300400200000,300,0.0466667,21.4286,0,0,0,1000000000,0,0,0.8
0,2,12300400300000,400,0.035,28.5714,0,0,0,1000000000,0,0,0.8
0,2,12300400400000,500,0.028,35.7143,0,0,0,1000000000,0,0,0.8
0,2,12300400500000,600,0.0233333,42.8571,0,0,0,1000000000,0,0,0.8
0,2,12300400600000,700,0.02,50,0,0,0,1000000000,0,0,0.8
0,2,12300400700000,800,0.0175,57.1429,0,0,0,1000000000,0,0,0.8
0,2,12300400800000,900,0.0155556,64.2857,0,0,0,1000000000,0,0,0.8
0,2,12300400900000,1000,0.014,71.4286,0,0,0,1000000000,0,0,0.8
0,2,12300401000000,1100,0.0127273,78.5714,0,0,0,1000000000,0,0,0.8
0,2,12300401100000,1200,0.035,28.5714,3.57143,6.272e+07,2.24e+08,1000000000,0.28,28,0.8
0,0,12300401200000,1600,0.07625,13.1148,5,1.6e+08,8e+08,4000000000,0.2,20,1
0,2,12300401300000,1700,0.107059,9.34066,1.66667,2.88e+08,4.8e+08,1000000000,0.6,60,0.8
0,2,12300401400000,1800,0.101111,9.89011,0,0,0,1000000000,0,0,0.8
0,2,12300401500000,1900,0.0957895,10.4396,0,0,0,1000000000,0,0,0.8
0,2,12300401600000,2000,0.091,10.989,0,0,0,1000000000,0,0,0.8
0,2,12300401700000,2100,0.0866667,11.5385,0,0,0,1000000000,0,0,0.8
0,2,12300401800000,2200,0.0827273,12.0879,0,0,0,1000000000,0,0,0.8
0,2,12300401900000,2300,0.0791304,12.6374,0,0,0,1000000000,0,0,0.8
0,2,12300402000000,2400,0.0758333,13.1868,0,0,0,1000000000,0,0,0.8
0,2,12300402100000,2500,0.0728,13.7363,0,0,0,1000000000,0,0,0.8
0,2,12300402200000,2600,0.07,14.2857,0,0,0,1000000000,0,0,0.8
0,2,12300402300000,2700,0.0807407,12.3853,2.77778,1.0368e+08,2.88e+08,1000000000,0.36,36,0.8
0,2,12300402400000,2800,0.0778571,12.844,0,0,0,1000000000,0,0,0.8
0,2,12300402500000,2900,0.0751724,13.3028,0,0,0,1000000000,0,0,0.8
0,2,12300402600000,3000,0.0726667,13.7615,0,0,0,1000000000,0,0,0.8
0,2,12300402700000,3100,0.0703226,14.2202,0,0,0,1000000000,0,0,0.8
0,2,12300402800000,3200,0.068125,14.6789,0,0,0,1000000000,0,0,0.8
0,2,12300402900000,3300,0.0660606,15.1376,0,0,0,1000000000,0,0,0.8
0,2,12300403000000,3400,0.0641176,15.5963,0,0,0,1000000000,0,0,0.8
0,2,12300403100000,3500,0.0622857,16.055,0,0,0,1000000000,0,0,0.8
0,2,12300403200000,3600,0.0605556,16.5138,0,0,0,1000000000,0,0,0.8
0,2,12300403300000,3700,0.0589189,16.9725,0,0,0,1000000000,0,0,0.8
0,2,12300403400000,3800,0.0618421,16.1702,5.88235,2.312e+07,1.36e+08,1000000000,0.17,17,0.8
0,0,12300403500000,4200,0.077619,12.8834,4.3956,2.07025e+08,9.1e+08,4000000000,0.2275,22.75,1
0,2,12300403600000,4300,0.0869767,11.4973,2.08333,1.8432e+08,3.84e+08,1000000000,0.48,48,0.8
0,2,12300403700000,4400,0.085,11.7647,0,0,0,1000000000,0,0,0.8
0,2,12300403800000,4500,0.0831111,12.0321,0,0,0,1000000000,0,0,0.8
0,2,12300403900000,4600,0.0813043,12.2995,0,0,0,1000000000,0,0,0.8
0,2,12300404000000,4700,0.0795745,12.5668,0,0,0,1000000000,0,0,0.8
0,2,12300404100000,4800,0.0779167,12.8342,0,0,0,1000000000,0,0,0.8
0,2,12300404200000,4900,0.0763265,13.1016,0,0,0,1000000000,0,0,0.8
0,2,12300404300000,5000,0.0748,13.369,0,0,0,1000000000,0,0,0.8
0,2,12300404400000,5100,0.0733333,13.6364,0,0,0,1000000000,0,0,0.8
0,2,12300404500000,5200,0.0719231,13.9037,0,0,0,1000000000,0,0,0.8
0,2,12300404600000,5300,0.0773585,12.9268,2.77778,1.0368e+08,2.88e+08,1000000000,0.36,36,0.8
0,1,12300404700000,5500,0.0745455,13.4146,0,0,0,2000000000,0,0,0.9
0,2,12300404800000,5600,0.0732143,13.6585,0,0,0,1000000000,0,0,0.8
0,2,12300404900000,5700,0.0719298,13.9024,0,0,0,1000000000,0,0,0.8
0,2,12300405000000,5800,0.0706897,14.1463,0,0,0,1000000000,0,0,0.8
0,2,12300405100000,5900,0.0694915,14.3902,0,0,0,1000000000,0,0,0.8
0,2,12300405200000,6000,0.0683333,14.6341,0,0,0,1000000000,0,0,0.8
0,2,12300405300000,6100,0.0672131,14.878,0,0,0,1000000000,0,0,0.8
0,2,12300405400000,6200,0.066129,15.122,0,0,0,1000000000,0,0,0.8
0,2,12300405500000,6300,0.0650794,15.3659,0,0,0,1000000000,0,0,0.8
0,2,12300405600000,6400,0.0640625,15.6098,0,0,0,1000000000,0,0,0.8
0,2,12300405700000,6500,0.0669231,14.9425,4,5e+07,2e+08,1000000000,0.25,25,0.8
