CU,perfLevel,clock,Cycles,IPC,CPI,CPI_delta,ED2P,EDP,Frequency,IPC_delta,Sensitivity,Voltage
0,0,12132200700000,2800,0.0557143,17.9487,17.9487,1.24163e+07,2.22857e+08,4000000000,0.0557143,39,1
0,0,12132200800000,3200,0.10125,9.87654,2.38095,7.056e+08,1.68e+09,4000000000,0.42,42,1
0,0,12132200900000,3600,0.134444,7.43802,2.5,6.4e+08,1.6e+09,4000000000,0.4,40,1
0,0,12132201000000,4000,0.15,6.66667,3.44828,3.364e+08,1.16e+09,4000000000,0.29,29,1
0,0,12132201100000,4400,0.136364,7.33333,0,0,0,4000000000,0,0,1
0,0,12132201200000,4800,0.125,8,0,0,0,4000000000,0,0,1
0,0,12132201300000,5200,0.115385,8.66667,0,0,0,4000000000,0,0,1
0,0,12132201400000,5600,0.107143,9.33333,0,0,0,4000000000,0,0,1
0,0,12132201500000,6000,0.1,10,0,0,0,4000000000,0,0,1
0,0,12132201600000,6400,0.09375,10.6667,0,0,0,4000000000,0,0,1
0,0,12132201700000,6800,0.0882353,11.3333,0,0,0,4000000000,0,0,1
0,0,12132201800000,7200,0.0833333,12,0,0,0,4000000000,0,0,1
0,0,12132201900000,7600,0.0789474,12.6667,0,0,0,4000000000,0,0,1
0,0,12132202000000,8000,0.096,10.4167,2.38095,7.056e+08,1.68e+09,4000000000,0.42,42,1
0,0,12132202100000,8400,0.0914286,10.9375,0,0,0,4000000000,0,0,1
0,0,12132202200000,8800,0.0872727,11.4583,0,0,0,4000000000,0,0,1
0,0,12132202300000,9200,0.0834783,11.9792,0,0,0,4000000000,0,0,1
0,0,12132202400000,9600,0.08,12.5,0,0,0,4000000000,0,0,1
0,0,12132202500000,10000,0.0768,13.0208,0,0,0,4000000000,0,0,1
0,0,12132202600000,10400,0.0738462,13.5417,0,0,0,4000000000,0,0,1
0,0,12132202700000,10800,0.0711111,14.0625,0,0,0,4000000000,0,0,1
0,0,12132202800000,11200,0.0685714,14.5833,0,0,0,4000000000,0,0,1
0,0,12132202900000,11600,0.0662069,15.1042,0,0,0,4000000000,0,0,1
0,0,12132203000000,12000,0.0666667,15,12.5,2.56e+07,3.2e+08,4000000000,0.08,8,1
0,0,12132203100000,12400,0.0776613,12.8764,2.45399,6.64225e+08,1.63e+09,4000000000,0.4075,40.75,1
0,0,12132203200000,12800,0.0853125,11.7216,3.10078,4.16025e+08,1.29e+09,4000000000,0.3225,32.25,1
0,0,12132203300000,13200,0.095,10.5263,2.46914,6.561e+08,1.62e+09,4000000000,0.405,40.5,1
0,0,12132203400000,13600,0.0994118,10.0592,4.08163,2.401e+08,9.8e+08,4000000000,0.245,24.5,1
0,0,12132203500000,14000,0.110214,9.07323,2.09424,9.12025e+08,1.91e+09,4000000000,0.4775,47.75,1
0,0,12132203600000,14400,0.118958,8.4063,2.35294,7.225e+08,1.7e+09,4000000000,0.425,42.5,1
0,0,12132203700000,14800,0.118378,8.44749,10.2564,3.8025e+07,3.9e+08,4000000000,0.0975,9.75,1
0,0,12132203800000,15200,0.115263,8.6758,0,0,0,4000000000,0,0,1
0,0,12132203900000,15600,0.112308,8.90411,0,0,0,4000000000,0,0,1
0,0,12132204000000,16000,0.1095,9.13242,0,0,0,4000000000,0,0,1
0,0,12132204100000,16400,0.106829,9.36073,0,0,0,4000000000,0,0,1
0,0,12132204200000,16800,0.104286,9.58904,0,0,0,4000000000,0,0,1
0,0,12132204300000,17200,0.10186,9.81735,0,0,0,4000000000,0,0,1
0,0,12132204400000,17600,0.0995455,10.0457,0,0,0,4000000000,0,0,1
0,0,12132204500000,18000,0.0973333,10.274,0,0,0,4000000000,0,0,1
0,0,12132204600000,18400,0.101739,9.82906,3.33333,3.6e+08,1.2e+09,4000000000,0.3,30,1
0,0,12132204700000,18800,0.0995745,10.0427,0,0,0,4000000000,0,0,1
0,0,12132204800000,19200,0.0975,10.2564,0,0,0,4000000000,0,0,1
0,0,12132204900000,19600,0.0955102,10.4701,0,0,0,4000000000,0,0,1
0,0,12132205000000,20000,0.0936,10.6838,0,0,0,4000000000,0,0,1
0,0,12132205100000,20400,0.0917647,10.8974,0,0,0,4000000000,0,0,1
0,0,12132205200000,20800,0.09,11.1111,0,0,0,4000000000,0,0,1
0,0,12132205300000,21200,0.0883019,11.3248,0,0,0,4000000000,0,0,1
0,0,12132205400000,21600,0.0866667,11.5385,0,0,0,4000000000,0,0,1
0,0,12132205500000,22000,0.0850909,11.7521,0,0,0,4000000000,0,0,1
0,0,12132205600000,22400,0.0835714,11.9658,0,0,0,4000000000,0,0,1
0,0,12132205700000,22800,0.0917105,10.9039,1.82648,1.19902e+09,2.19e+09,4000000000,0.5475,54.75,1
0,0,12132205800000,23200,0.0962931,10.385,2.7972,5.11225e+08,1.43e+09,4000000000,0.3575,35.75,1
0,0,12132205900000,23600,0.101441,9.85798,2.5,6.4e+08,1.6e+09,4000000000,0.4,40,1
0,0,12132206000000,24000,0.103167,9.69305,4.87805,1.681e+08,8.2e+08,4000000000,0.205,20.5,1
0,0,12132206100000,24400,0.101475,9.8546,0,0,0,4000000000,0,0,1
0,0,12132206200000,24800,0.0998387,10.0162,0,0,0,4000000000,0,0,1
0,0,12132206300000,25200,0.098254,10.1777,0,0,0,4000000000,0,0,1
0,0,12132206400000,25600,0.0967188,10.3393,0,0,0,4000000000,0,0,1
0,0,12132206500000,26000,0.0952308,10.5008,0,0,0,4000000000,0,0,1
0,0,12132206600000,26400,0.0937879,10.6624,0,0,0,4000000000,0,0,1
0,0,12132206700000,26800,0.0923881,10.8239,0,0,0,4000000000,0,0,1
0,0,12132206800000,27200,0.0910294,10.9855,0,0,0,4000000000,0,0,1
0,0,12132206900000,27600,0.0897101,11.147,0,0,0,4000000000,0,0,1
0,0,12132207000000,28000,0.0908929,11.002,5.7971,1.19025e+08,6.9e+08,4000000000,0.1725,17.25,1
0,0,12132207100000,28400,0.0925352,10.8067,4.81928,1.72225e+08,8.3e+08,4000000000,0.2075,20.75,1
0,0,12132207200000,28800,0.09125,10.9589,0,0,0,4000000000,0,0,1
0,0,12132207300000,29200,0.09,11.1111,0,0,0,4000000000,0,0,1
0,0,12132207400000,29600,0.0887838,11.2633,0,0,0,4000000000,0,0,1
0,0,12132207500000,30000,0.0876,11.4155,0,0,0,4000000000,0,0,1
0,0,12132207600000,30400,0.0864474,11.5677,0,0,0,4000000000,0,0,1
0,0,12132207700000,30800,0.0853247,11.7199,0,0,0,4000000000,0,0,1
0,0,12132207800000,31200,0.0842308,11.8721,0,0,0,4000000000,0,0,1
0,0,12132207900000,31600,0.0831646,12.0244,0,0,0,4000000000,0,0,1
0,0,12132208000000,32000,0.082125,12.1766,0,0,0,4000000000,0,0,1
0,0,12132208100000,32400,0.0819753,12.1988,14.2857,1.96e+07,2.8e+08,4000000000,0.07,7,1
0,0,12132208200000,32800,0.0867378,11.529,2.1164,8.93025e+08,1.89e+09,4000000000,0.4725,47.25,1
0,0,12132208300000,33200,0.0915964,10.9175,2.04082,9.604e+08,1.96e+09,4000000000,0.49,49,1
0,0,12132208400000,33600,0.095,10.5263,2.64901,5.70025e+08,1.51e+09,4000000000,0.3775,37.75,1
0,0,12132208500000,34000,0.0956471,10.4551,6.66667,9e+07,6e+08,4000000000,0.15,15,1
