CU,perfLevel,clock,Cycles,IPC,CPI,CPI_delta,ED2P,EDP,Frequency,IPC_delta,Sensitivity,Voltage
0,2,8924800100000,100,0.4,2.5,2.5,1.28e+08,3.2e+08,1000000000,0.4,40,0.8
0,2,8924800200000,200,0.2,5,0,0,0,1000000000,0,0,0.8
0,2,8924800300000,300,0.133333,7.5,0,0,0,1000000000,0,0,0.8
0,2,8924800400000,400,0.1,10,0,0,0,1000000000,0,0,0.8
0,2,8924800500000,500,0.08,12.5,0,0,0,1000000000,0,0,0.8
0,2,8924800600000,600,0.0666667,15,0,0,0,1000000000,0,0,0.8
0,2,8924800700000,700,0.0571429,17.5,0,0,0,1000000000,0,0,0.8
0,2,8924800800000,800,0.05,20,0,0,0,1000000000,0,0,0.8
0,2,8924800900000,900,0.0444444,22.5,0,0,0,1000000000,0,0,0.8
0,2,8924801000000,1000,0.04,25,0,0,0,1000000000,0,0,0.8
0,2,8924801100000,1100,0.0445455,22.449,11.1111,6.48e+06,7.2e+07,1000000000,0.09,9,0.8
0,2,8924801200000,1200,0.0633333,15.7895,3.7037,5.832e+07,2.16e+08,1000000000,0.27,27,0.8
0,2,8924801300000,1300,0.0584615,17.1053,0,0,0,1000000000,0,0,0.8
0,2,8924801400000,1400,0.0542857,18.4211,0,0,0,1000000000,0,0,0.8
0,2,8924801500000,1500,0.0506667,19.7368,0,0,0,1000000000,0,0,0.8
0,2,8924801600000,1600,0.0475,21.0526,0,0,0,1000000000,0,0,0.8
0,2,8924801700000,1700,0.0447059,22.3684,0,0,0,1000000000,0,0,0.8
0,2,8924801800000,1800,0.0422222,23.6842,0,0,0,1000000000,0,0,0.8
0,2,8924801900000,1900,0.04,25,0,0,0,1000000000,0,0,0.8
0,2,8924802000000,2000,0.038,26.3158,0,0,0,1000000000,0,0,0.8
0,2,8924802100000,2100,0.0361905,27.6316,0,0,0,1000000000,0,0,0.8
0,2,8924802200000,2200,0.0409091,24.4444,7.14286,1.568e+07,1.12e+08,1000000000,0.14,14,0.8
0,2,8924802300000,2300,0.0721739,13.8554,1.31579,4.6208e+08,6.08e+08,1000000000,0.76,76,0.8
0,2,8924802400000,2400,0.0945833,10.5727,1.63934,2.9768e+08,4.88e+08,1000000000,0.61,61,0.8
0,2,8924802500000,2500,0.0928,10.7759,20,2e+06,4e+07,1000000000,0.05,5,0.8
0,2,8924802600000,2600,0.0892308,11.2069,0,0,0,1000000000,0,0,0.8
0,2,8924802700000,2700,0.0859259,11.6379,0,0,0,1000000000,0,0,0.8
0,2,8924802800000,2800,0.0828571,12.069,0,0,0,1000000000,0,0,0.8
0,2,8924802900000,2900,0.08,12.5,0,0,0,1000000000,0,0,0.8
