CU,clock,Cycles,IPC,IPC_delta,CPI,CPI_delta,Frequency,Voltage,EDP,ED2P,Sensitivity
0,10205500000000,15545,0.0732068,0.0732068,13.6599,13.6599,4000000000.0,1.0,3.41498e-09,1.16621e-17,0.0
0,10205501000000,19545,0.0912765,0.1615,10.9557,6.19195,4000000000.0,1.0,1.54799e-09,2.39627e-18,4.0
0,10205502000000,21545,0.0835461,0.008,11.9694,125.0,2000000000.0,0.9,5.0625e-08,3.16406e-15,1.4
0,11206193000000,40620,0.0572132,0.0274705,17.4785,36.4027,4000000000.0,1.0,9.10067e-09,8.28222e-17,0.708069
0,11206194000000,42620,0.0545284,0.0,18.3391,0.0,2000000000.0,0.9,0.0,0.0,1.11184
0,11206195000000,43620,0.0532783,0.0,18.7694,0.0,1000000000.0,0.8,0.0,0.0,0.485009
0,11222906000000,46129,0.0509441,0.0103627,19.6294,96.5,1000000000.0,0.8,6.176e-08,5.95984e-15,1.18632
0,11222907000000,50129,0.0486345,0.022,20.5615,45.4545,4000000000.0,1.0,1.13636e-08,1.29132e-16,4.0
0,11222908000000,54129,0.0455394,0.00675,21.959,148.148,4000000000.0,1.0,3.7037e-08,1.37174e-15,4.0
0,11222909000000,58129,0.0452442,0.04125,22.1023,24.2424,4000000000.0,1.0,6.06061e-09,3.67309e-17,3.83846
0,11222910000000,60129,0.0441384,0.012,22.656,83.3333,2000000000.0,0.9,3.375e-08,1.40625e-15,0.732809
0,11222911000000,61129,0.0461647,0.168,21.6616,5.95238,1000000000.0,0.8,3.80952e-09,2.26757e-17,1.43188
0,11222912000000,63129,0.0450823,0.012,22.1817,83.3333,2000000000.0,0.9,3.375e-08,1.40625e-15,0.872617
0,11222913000000,64129,0.0461258,0.112,21.6799,8.92857,1000000000.0,0.8,5.71429e-09,5.10204e-17,1.12072
0,11222914000000,68129,0.0442396,0.014,22.6042,71.4286,4000000000.0,1.0,1.78571e-08,3.18878e-16,2.3566
0,11222915000000,70129,0.0433202,0.012,23.0839,83.3333,2000000000.0,0.9,3.375e-08,1.40625e-15,1.31919
0,11222916000000,72129,0.0444481,0.084,22.4981,11.9048,2000000000.0,0.9,4.82143e-09,2.8699e-17,1.33359
0,11222917000000,76129,0.042428,0.006,23.5693,166.667,4000000000.0,1.0,4.16667e-08,1.73611e-15,1.03478
0,11222918000000,78129,0.0434922,0.084,22.9926,11.9048,2000000000.0,0.9,4.82143e-09,2.8699e-17,1.35074
0,11222919000000,82129,0.0416662,0.006,24.0003,166.667,4000000000.0,1.0,4.16667e-08,1.73611e-15,1.05537
0,11222920000000,84129,0.0426726,0.084,23.4343,11.9048,2000000000.0,0.9,4.82143e-09,2.8699e-17,1.35065
0,11222921000000,88129,0.0407357,0.0,24.5485,0.0,4000000000.0,1.0,0.0,0.0,1.05537
0,11222922000000,89129,0.0406826,0.036,24.5805,27.7778,1000000000.0,0.8,1.77778e-08,4.93827e-16,0.698295
0,11222923000000,91129,0.0415016,0.078,24.0955,12.8205,2000000000.0,0.9,5.19231e-09,3.3284e-17,1.13188
0,11222924000000,95129,0.0398827,0.003,25.0735,333.333,4000000000.0,1.0,8.33333e-08,6.94444e-15,0.810005
0,11222925000000,96129,0.0413403,0.18,24.1895,5.55556,1000000000.0,0.8,3.55556e-09,1.97531e-17,1.05822
0,11222926000000,100129,0.0398086,0.003,25.1202,333.333,4000000000.0,1.0,8.33333e-08,6.94444e-15,0.733775
0,11222927000000,101129,0.0411949,0.18,24.2748,5.55556,1000000000.0,0.8,3.55556e-09,1.97531e-17,0.870394
0,11222928000000,105129,0.0397417,0.003,25.1625,333.333,4000000000.0,1.0,8.33333e-08,6.94444e-15,0.733775
0,11222929000000,106129,0.0395839,0.023,25.2628,43.4783,1000000000.0,0.8,2.78261e-08,1.20983e-15,0.870394
0,11222930000000,108129,0.0403037,0.0785,24.8116,12.7389,2000000000.0,0.9,5.15924e-09,3.28614e-17,1.45372
0,11222931000000,110129,0.0397897,0.012,25.1321,83.3333,2000000000.0,0.9,3.375e-08,1.40625e-15,1.24083e-05
0,11222932000000,112129,0.0405783,0.084,24.6437,11.9048,2000000000.0,0.9,4.82143e-09,2.8699e-17,1.28125
0,11222933000000,116129,0.0393872,0.006,25.3889,166.667,4000000000.0,1.0,4.16667e-08,1.73611e-15,1.03478
0,11222934000000,118129,0.0401426,0.084,24.9112,11.9048,2000000000.0,0.9,4.82143e-09,2.8699e-17,1.35074
0,11222935000000,122129,0.0390243,0.006,25.6251,166.667,4000000000.0,1.0,4.16667e-08,1.73611e-15,1.05537
0,11222936000000,124129,0.0394589,0.066,25.3428,15.1515,2000000000.0,0.9,6.13636e-09,4.64876e-17,1.35065
0,11222937000000,128129,0.0385081,0.009,25.9686,111.111,4000000000.0,1.0,2.77778e-08,7.71605e-16,1.37615
0,11222938000000,132129,0.0375239,0.006,26.6497,166.667,4000000000.0,1.0,4.16667e-08,1.73611e-15,1.55174
0,11222939000000,134129,0.0382169,0.084,26.1664,11.9048,2000000000.0,0.9,4.82143e-09,2.8699e-17,1.46477
0,11222940000000,138129,0.037284,0.006,26.8212,166.667,4000000000.0,1.0,4.16667e-08,1.73611e-15,1.05537
0,11222941000000,140129,0.0379507,0.084,26.3499,11.9048,2000000000.0,0.9,4.82143e-09,2.8699e-17,1.35065
0,11222942000000,144129,0.037064,0.006,26.9803,166.667,4000000000.0,1.0,4.16667e-08,1.73611e-15,1.05537
